Module,Mentor,Learning materials,Assignments
M1: Linux,,,
"Linux terminal, shell scripting",,"Essential: Linux Command Line 101, Linux Command Line 102
Additional: Linux Administration, Introduction to Linux
(please reach out to the mentors for the Udemy credentials)",Write a cron job that checks the status of google.ro and example.com every 1h and then emails that status check to your work inbox. Your cron script should be limited to one line and it should work even after a system reboot. 
,,,
M2: Git,,,
"Git fundamentals, branching",,"Essential: Learn Git branching,
Additional: ProGit","Register a GitHub account using your 3PG e-mail (skip if you already have one). Create a private repository (devops_upskilling_first-name_last-name) and add all mentors (adrianortelecan, CosminG, ehirsch-3pg, mirceabugan3pg , raresthreepio) as collaborators. Commit and push 5 ""dummy"" changes. Use git rebase --interactive to squash the first three, drop the fourth, and reword the fifth. Push your changes without overwriting remote changes made by other developers. Create a commit-msg hook that adds the keyword ""DevOps"" to commit messages."
,,,
M3: Programming,,,
SOLID and design patterns,,"Essential: The SOLID Principles of Object-Oriented Programming Explained in Plain English
Optional: The 3 Types of Design Patterns All Developers Should Know, Data Abstraction and Hierarchy",Migrate the cron script from the Linux module to your programming language of choice. Make use of SOLID and the appropriate design patterns.
,,,
M4: Continuous Integration (tech stack: GitHub),,,
Branching strategies,,"Essential: Trunk-based development, Git flow, GitHub flow, GitLab flow
Additional: Sam Newman: Feature Branches and Toggles in a Post-GitHub World","Write a proposal advocating for the appropriate branching strategy for a projet building on this application, taking into account the following:
- the team, composed of two other engineers besides you, has adopted Kanban as their delivery methology of choice
- ability to do A/B testing
- features should safely reach production ASAP"
Continuous Integration,,Martin Fowler on Continuous Integration,"Configure a CI check that runs ""super-linter"" on Pull Requests."
,,,
M5: Containers (tech stack: Docker),,,
Intro to Virtualization & Container fundamentals,,"
Essential: Virtualization Guide, Play with Docker
Additional: The Docker Handbook, Dockerfile reference, Deep Dive into Docker Internals - Union Filesystem","Write a Dockerfile for your cron application from the Programming module. This should run continuously.
Write a docker-compose file describing a stack composed of a container from the image with the above Dockerfile, and a ""side car"" cron job container (use the same image as the main one) that writes to the host file system some stats about the main container app.
The cron job from the second container monitors the first container and adds the info every hour in a text file.
You can monitor the ""avg time of status check response per hour"" for example, but not necessarily. You can even use for input some app logs that are generated by the app in the first container. These are just some examples..."
,,,
"M6: Cloud (tech stack: AWS ecosystem, Terraform)",,,
Cloud fundamentals,,Introduction to Cloud Infrastructure Technologies,N/A
Amazon Web Services Fundamentals,,"Essential: AWS Introduction
Additional: Amazon S3 docs: hosting websites on S3 examples","Create a free tier AWS account. Write a ""hello world"" HTML page. Using the AWS web console, create an S3 bucket, upload your HTML file and enable static website hosting from the bucket's settings. Can you add HTTPS to your newly-created website? If so, how?"
Infrastructure-as-code,,"Essential: (Udemy) Terraform - Beginner to Advanced 2020
Additional: 5 Lessons Learned From Writing Over 300,000 Lines of Infrastructure Code","Implement a Terraform module that describes an ECS cluster, ECS service (using EC2 to benefit from the Free Tier), Application Load Balancer. Use your Dockerized application."
,,,
M7: Continuous Delivery (tech stack: GitHub),,,
Continuous Delivery,,Essential: Continuous Delivery YT channel,"Create CD pipeline that deploys the application implemented the modules above, generates a new CHANGELOG.md, and creates a release separate from the deploy."
,,,
Starter Pack Final ✪,All hands on deck!,,
,,All of the above,"Create a Status Page application (SPA is recommended, but not mandatory), akin to the cron job from the Linux module. The frontend should be served from a Cloudfront Distribution and show a red/green color-coded dot based on the status. The backend should be served via a Docker container from either AWS ECS or AWS Lambda. You may use ElastiCache Redis to cache status check results. Deployment should be done on Pull Request merge and have one or more repositories for the frontend, backend, infrastructure code and configuration."
,,,
,,,
Meet the mentors:,,,
Mircea Bugan,,,
Cosmin Cosma,,,
Eduard Hirsch,,,
Rares Aioanei,,,
Adrian Ortelecan,,,
